201.0,"Vimal Hospital,Near Govt Boys High School,Barnala",Dr Parmod Jain Hospital,0.0,0.0,0.0,K C Road,Punjab,Barnala,0.0,148101.0,0.0,,,(1679) 232592,,,0.0,,nr,
202.0,K C Road Barnala,Dr Pradeep Sharma Hospital,0.0,0.0,0.0,"Neal Gazal Hotel, Old Sabzi Mandi, K.C Road",Punjab,Barnala,0.0,148101.0,0.0,,,01679 - 2326445,,,0.0,,nb,
203.0,"Neal Gazal Hotel, Old Sabzi Mandi, K.C Road Barnala",Dr Rakesh Surgical Center,0.0,0.0,0.0,Kacha College,Punjab,Barnala,0.0,148101.0,0.0,,, 0167 924 3933,,,0.0,,nb,
204.0,"Kacha College, Barnala",Dr. Naresh Hospital and Heart Centre,C,0.0,0.0,"Sangrur Road, Dhanuala",Punjab,Barnala,0.0,148101.0,0.0,,,098140 55985,,,0.0,,cnr,
205.0,"Sangrur Road, Dhanuala, Barnala",G M S Multispeciality Hospital,0.0,0.0,0.0,"K. C. Road, Near Obc Bank",Punjab,Barnala,0.0,148101.0,0.0,,,UTL,,,0.0,,,
206.0,"K. C. Road, Near Obc Bank, Barnala,",Garg Nursing Home,0.0,0.0,0.0,"Sanjeevani Complex, Raikot Road",Punjab,Barnala,0.0,148101.0,0.0,,,167-923-0358,,,0.0,,cnr,
207.0,"Sanjeevani Complex, Raikot Road, Barnala",Geetan Hospital,0.0,0.0,0.0,Main Road,Punjab,Barnala,0.0,148101.0,0.0,,,UTL,,,0.0,,,
208.0,"Main Road,Barnala",Gopal Eye EarandDenytal Care,0.0,0.0,0.0,"Opp Dr Vijay Kumar ,K.C Road",Punjab,Barnala,0.0,148101.0,0.0,,,0172 227 2277,,,0.0,,cnr,
209.0,"Opp Dr Vijay Kumar,K.C RoadBarnala",Kamal Computerized Laoratory,0.0,0.0,0.0,"25 Acre Extn, Near Fountain Chowk, Foundation Chowk",Punjab,Barnala,0.0,148101.0,0.0,,,9819248267.0,,,0.0,,nr,
210.0,"25 Acre Extn, Near Fountain Chowk, Foundation Chowk, Barnala",Lifeline Multispeciality Hospital,0.0,0.0,0.0,Shaheed Bhagat Singh Road,Punjab,Barnala,0.0,148101.0,0.0,,,0167 923 0784,,,0.0,,nr,
211.0,"Shaheed Bhagat Singh Road, Barnala",Mittal Orthopaedic and Joint Replacement Center,0.0,0.0,0.0,Thkriwala Chowk,Punjab,Barnala,0.0,148101.0,0.0,,,098140 27085,,,0.0,,cnc,
